issue,title,primary finding,validator comment,status,root cause (URL),size
findings-10,Providers can replace credentials from other providers allowing a rogue or malicios provider to revoke all lenders credentials, ,"The logic, as written, does make sense because it checks whether the caller is the lastProvider or if the new expiry is greater than the old expiry. If neither condition is true, the revert is triggered, which aligns with the intended behavior.",Unsatisfactory,,59
findings-11,AccessControlHooks onQueueWithdrawal() does not check if market is hooked which could lead to unexpected errors such as temporary DoS,validation-304, ,Satisfactory,,90
findings-12,Lenders can avoid sanction restrictions in `FixedTermLoanHooks` by transferring to another account,findings-12,primary,Satisfactory,https://github.com/code-423n4/2024-08-wildcat/blob/fe746cc0fbedc4447a981a50e6ba4c95f98b9fe1/src/access/FixedTermLoanHooks.sol#L848-L868,119
findings-13,Minimum deposit requirement can be bypassed,findings-13,primary,Satisfactory,https://github.com/code-423n4/2024-08-wildcat/blob/fe746cc0fbedc4447a981a50e6ba4c95f98b9fe1/src/access/AccessControlHooks.sol#L850-L880,92
findings-14,Borrower can reduce the maxTotalSupply below the current `totalSupply()`,findings-14,primary,Satisfactory,https://github.com/code-423n4/2024-08-wildcat/blob/fe746cc0fbedc4447a981a50e6ba4c95f98b9fe1/src/market/WildcatMarketConfig.sol#L101-L111,79
findings-15,Lack of slippage control on deposit functions,,"since the asset value does not change in the provided scenario, i couldnt conclude to a vulnerability",Unsatisfactory,,89
findings-16,Lenders lose funds if deposits continue to operate when Borrower has been sanctioned,findings-16,"primary -  a bit obscured, but this doesnt make sense if the borrower is sanctioned after borrowing, so the reports refers to only the period where the borrower is confirmed by Wildcat and the contract is pending funds. in addition, they can also make themselves sanctioned too, and this falls into OOS behaviour referred here: https://docs.wildcat.finance/technical-overview/security-developer-dives/known-issues#malicious-delinquent-borrowers-can-lead-to-loss-of-funds ",Satisfactory,https://github.com/code-423n4/2024-08-wildcat/blob/fe746cc0fbedc4447a981a50e6ba4c95f98b9fe1/src/market/WildcatMarket.sol#L104-L108,66
findings-18,Incorrect use of `state.isDelinquent` in `updateTimeDelinquentAndGetPenaltyTime` function - total misbehavior of applying delinquency fee,findings-18,primary,Satisfactory,https://github.com/code-423n4/2024-08-wildcat/blob/main/src/libraries/FeeMath.sol#L96,60
findings-19,Wrong calculation of delinquent penalty time in `updateTimeDelinquentAndGetPenaltyTime` function,findings-19,primary,Satisfactory,https://github.com/code-423n4/2024-08-wildcat/blob/main/src/libraries/FeeMath.sol#L118,66
findings-20,`repay` opearation can be effectively simulated bypassing `state.isClosed` and hooks,,"The sponsor also commented, I agree with the Sponsor as this should be sent along with a QA report, however, thinking that the referred issue can be organically developped due to the network - state is not closed YET and the funds are already sent, then the question might pinpoint about why they send funds",Unsatisfactory,,33
findings-21,An incorrect value of state.isDelinquent might impact the functionality of hook operations.,findings-18,it seems the root cause of this report is the same as findings-18,Satisfactory,https://github.com/code-423n4/2024-08-wildcat/blob/main/src/libraries/FeeMath.sol#L96,41
findings-22,Missing `isHooked` check when calling `onQueueWithdrawal` hook function,validation-304, ,Satisfactory,,73
findings-23,Borrower can reduces APR in fixed markets causing lenders to lose funds,findings-23,primary,Satisfactory,https://github.com/code-423n4/2024-08-wildcat/blob/fe746cc0fbedc4447a981a50e6ba4c95f98b9fe1/src/market/WildcatMarketConfig.sol#L123-L176,99
findings-3,The `setHooksAddress` implementation is incorrect.,findings-3,primary - an edge case for me,Satisfactory,https://github.com/code-423n4/2024-08-wildcat/blob/fe746cc0fbedc4447a981a50e6ba4c95f98b9fe1/src/types/HooksConfig.sol#L90,47
